SCIENTIFIC NAME
Abroscopus albogularis
Abroscopus schisticeps
Abroscopus superciliaris
Accipiter badius
Accipiter butleri
Accipiter gentilis
Accipiter gularis
Accipiter nisus
Accipiter soloensis
Accipiter trivirgatus
Accipiter virgatus
Aceros nipalensis
Acridotheres fuscus
Acridotheres ginginianus
Acridotheres grandis
Acridotheres tristis
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus bistrigiceps
Acrocephalus concinens
Acrocephalus dumetorum
Acrocephalus melanopogon
Acrocephalus orientalis
Acrocephalus stentoreus
Actinodura cyanouroptera
Actinodura egertoni
Actinodura nipalensis
Actinodura strigula
Actinodura waldeni
Actitis hypoleucos
Aegithalos concinnus
Aegithalos iouschistos
Aegithalos niveogularis
Aegithina nigrolutea
Aegithina tiphia
Aegypius monachus
Aerodramus brevirostris
Aerodramus fuciphagus
Aerodramus unicolor
Aethopyga gouldiae
Aethopyga ignicauda
Aethopyga nipalensis
Aethopyga saturata
Aethopyga siparaja
Aethopyga vigorsii
Agropsar sturninus
Alaemon alaudipes
Alauda arvensis
Alauda gulgula
Alcedo atthis
Alcedo hercules
Alcedo meninting
Alcippe ludlowi
Alcippe nipalensis
Alcippe poioicephala
Alectoris chukar
Alophoixus flaveolus
Amandava amandava
Amaurornis akool
Amaurornis bicolor
Amaurornis phoenicurus
Ammomanes deserti
Ammomanes phoenicura
Ampeliceps coronatus
Anas acuta
Anas albogularis
Anas clypeata
Anas crecca
Anas falcata
Anas formosa
Anas penelope
Anas platyrhynchos
Anas poecilorhyncha
Anas querquedula
Anas strepera
Anas zonorhyncha
Anastomus oscitans
Anhinga melanogaster
Anorrhinus austeni
Anous stolidus
Anous tenuirostris
Anser albifrons
Anser anser
Anser erythropus
Anser indicus
Anser serrirostris
Anthipes monileger
Anthracoceros albirostris
Anthracoceros coronatus
Anthropoides virgo
Anthus campestris
Anthus cervinus
Anthus godlewskii
Anthus hodgsoni
Anthus nilghiriensis
Anthus richardi
Anthus roseatus
Anthus rufulus
Anthus similis
Anthus spinoletta
Anthus sylvanus
Anthus trivialis
Aplonis panayensis
Apus acuticauda
Apus affinis
Apus apus
Apus leuconyx
Apus melba
Apus nipalensis
Apus pacificus
Aquila chrysaetos
Aquila fasciata
Aquila heliaca
Aquila nipalensis
Aquila rapax
Arachnothera longirostra
Arachnothera magna
Arborophila atrogularis
Arborophila mandellii
Arborophila rufogularis
Arborophila torqueola
Ardea alba
Ardea cinerea
Ardea insignis
Ardea purpurea
Ardeola bacchus
Ardeola grayii
Ardeotis nigriceps
Arenaria interpres
Artamus fuscus
Artamus leucorynchus
Asio flammeus
Athene blewitti
Athene brama
Athene noctua
Aviceda jerdoni
Aviceda leuphotes
Aythya baeri
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Bambusicola fytchii
Batrachostomus hodgsoni
Batrachostomus moniliger
Blythipicus pyrrhotis
Botaurus stellaris
Brachypteryx albiventris
Brachypteryx hyperythra
Brachypteryx leucophrys
Brachypteryx major
Brachypteryx montana
Brachypteryx stellata
Branta ruficollis
Bubo bengalensis
Bubo bubo
Bubo coromandus
Bubo nipalensis
Bubulcus ibis
Bucanetes githagineus
Bucanetes mongolicus
Bucephala clangula
Buceros bicornis
Burhinus indicus
Burhinus oedicnemus
Butastur teesa
Buteo buteo
Buteo hemilasius
Buteo refectus
Buteo rufinus
Butorides striata
Cacomantis merulinus
Cacomantis passerinus
Cacomantis sonneratii
Cairina scutulata
Calandrella acutirostris
Calandrella brachydactyla
Calandrella raytal
Calidris alba
Calidris alpina
Calidris canutus
Calidris falcinellus
Calidris ferruginea
Calidris melanotos
Calidris minuta
Calidris pugnax
Calidris ruficollis
Calidris subminuta
Calidris subruficollis
Calidris temminckii
Calidris tenuirostris
Callacanthis burtoni
Calliope calliope
Calliope pectardens
Calliope pectoralis
Caloenas nicobarica
Caprimulgus affinis
Caprimulgus andamanicus
Caprimulgus asiaticus
Caprimulgus atripennis
Caprimulgus europaeus
Caprimulgus indicus
Caprimulgus jotaka
Caprimulgus macrurus
Caprimulgus mahrattensis
Carduelis carduelis
Carduelis flavirostris
Carpodacus edwardsii
Carpodacus erythrinus
Carpodacus grandis
Carpodacus nipalensis
Carpodacus pulcherrimus
Carpodacus puniceus
Carpodacus rhodopeplus
Carpodacus rodochroa
Carpodacus rubicilla
Carpodacus rubicilloides
Carpodacus thura
Carpospiza brachydactyla
Catreus wallichii
Cecropis daurica
Cecropis striolata
Centropus andamanensis
Centropus bengalensis
Centropus sinensis
Cephalopyrus flammiceps
Cercomela fusca
Cercotrichas galactotes
Certhia discolor
Certhia himalayana
Certhia hodgsoni
Certhia nipalensis
Ceryle rudis
Cettia brunnifrons
Cettia castaneocoronata
Cettia cetti
Cettia major
Ceyx erithaca
Chaetornis striata
Chalcoparia singalensis
Chalcophaps indica
Charadrius alexandrinus
Charadrius asiaticus
Charadrius dubius
Charadrius hiaticula
Charadrius leschenaultii
Charadrius mongolus
Charadrius placidus
Chelidorhynx hypoxantha
Chlamydotis macqueenii
Chleuasicus atrosuperciliaris
Chlidonias hybrida
Chlidonias leucopterus
Chloris spinoides
Chloropsis aurifrons
Chloropsis cochinchinensis
Chloropsis hardwickii
Chloropsis jerdoni
Cholornis unicolor
Chroicocephalus brunnicephalus
Chroicocephalus genei
Chroicocephalus ridibundus
Chrysococcyx maculatus
Chrysococcyx xanthorhynchus
Chrysocolaptes festivus
Chrysocolaptes guttacristatus
Chrysomma altirostre
